message;severity;node;stamp;topics;location
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.763059363";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!15";"2";"/talker";"1572737262.663084456";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.663051811";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!14";"2";"/talker";"1572737262.563095493";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.563059621";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!13";"2";"/talker";"1572737262.463087226";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.463053838";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!12";"2";"/talker";"1572737262.363088992";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.363054945";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!11";"2";"/talker";"1572737262.263087791";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.263053576";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!10";"2";"/talker";"1572737262.163095379";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.163061906";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!9";"2";"/talker";"1572737262.063094417";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737262.063061823";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!8";"2";"/talker";"1572737261.962988458";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737261.962952156";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!7";"2";"/talker";"1572737261.863056183";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737261.862994808";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!6";"2";"/talker";"1572737261.762952064";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737261.762926951";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!5";"2";"/talker";"1572737261.663016892";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737261.662951545";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!4";"2";"/talker";"1572737261.563090511";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737261.563023398";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!3";"2";"/talker";"1572737261.463254205";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
"No input frequency, using default publisher frequency";"4";"/talker";"1572737261.463162514";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:75"
"This is the custom input String!2";"2";"/talker";"1572737261.363250961";"/chatter,/rosout";"/home/gautam/catkin_ws/src/beginner_tutorials/src/talker.cpp:main:86"
